hive	time	value
R26	1555891200000	95.132
R26	1555804800000	94.784
R26	1555718400000	94.217
R26	1555632000000	93.734
R26	1555545600000	93.41
R26	1555459200000	93.067
R26	1555372800000	92.47
R26	1555286400000	92.203
R26	1555200000000	91.678
R26	1555113600000	90.462
R26	1555027200000	90.066
R26	1554940800000	89.669
R26	1554854400000	89.397
R26	1554768000000	89.53
R26	1554681600000	89.871
R26	1554595200000	90.179
R26	1554508800000	90.762
R26	1554422400000	90.726
R26	1554336000000	90.831
R26	1554249600000	91.021
R26	1554163200000	90.886
R26	1554076800000	90.222
R26	1553990400000	89.532
R26	1553904000000	89.242
R26	1553817600000	88.369
R26	1553731200000	87.512
R26	1553644800000	86.533
R26	1553558400000	85.665
R26	1553472000000	85.421
R26	1553385600000	84.619
R26	1553299200000	84.266
R26	1553212800000	82.995
R26	1553126400000	82.307
R26	1553040000000	81.442
R26	1552953600000	81.166
R26	1552867200000	81.549
R26	1552780800000	83.516
R26	1552694400000	85.356
R26	1552608000000	88.388
R26	1552521600000	90.54
R26	1552435200000	92.82
R26	1552348800000	94.267
R26	1552262400000	94.307
R26	1552176000000	92.782
R26	1552089600000	90.491
R26	1552003200000	85.415
R26	1551916800000	79.77
R26	1551830400000	73.322
R26	1551744000000	65.589
R26	1551657600000	57.576
R26	1551571200000	49.2
R26	1551484800000	40.136
R26	1551398400000	31.681
R26	1551312000000	24.244
R26	1551225600000	16.892
R26	1551139200000	13.796
R26	1551052800000	9.675
R26	1550966400000	8.115
R26	1550275200000	7.691
R26	1550188800000	11.639
R26	1550102400000	9.701
R26	1550016000000	4.842
R26	1549929600000	0
R26	1549843200000	0
R26	1549756800000	0
R26	1549670400000	0
R26	1548460800000	0
R26	1548374400000	0
R26	1548288000000	0
R26	1548201600000	0
R26	1548115200000	0
R26	1548028800000	0
R26	1547942400000	0
R26	1547856000000	0
R26	1547769600000	0
R26	1547683200000	0
R26	1547596800000	0
R26	1547510400000	0
R26	1547424000000	0
R26	1547337600000	0
R26	1547251200000	0
R26	1547164800000	0
R26	1547078400000	0
R26	1546992000000	0
R26	1546905600000	0
R26	1546819200000	0
R26	1546732800000	0
R26	1546646400000	0
R26	1546560000000	0
R26	1546473600000	0
R26	1546387200000	0
R26	1546300800000	0
R26	1546214400000	0
R26	1546128000000	0
R26	1546041600000	0
R26	1545955200000	0
R26	1545868800000	0
R26	1545782400000	0
R26	1545696000000	0
R26	1545609600000	0
R26	1545523200000	0
R26	1545436800000	0
R26	1545350400000	0
R26	1545264000000	0
R26	1545177600000	0
R26	1545091200000	0
R26	1545004800000	0
R26	1544918400000	0
R26	1544832000000	0
R26	1544745600000	0
R26	1544659200000	0
R26	1544572800000	0
R26	1544486400000	0
R26	1544400000000	0
R26	1544313600000	0
R26	1544227200000	0
R26	1544140800000	0
R26	1544054400000	0
R26	1543968000000	0
R26	1543881600000	0
R26	1543795200000	0
R26	1543708800000	0
R26	1543622400000	0
R26	1543536000000	0
R26	1543449600000	0
R26	1543363200000	0
R26	1543276800000	0
R26	1543190400000	0
R26	1543104000000	0
R26	1543017600000	0
R26	1542931200000	0
R26	1542844800000	0
R26	1542758400000	0
R26	1542672000000	0
R26	1542585600000	0
R26	1542499200000	0
R26	1542412800000	0
R26	1542326400000	0
R26	1542240000000	0
R26	1542153600000	0
R26	1542067200000	0
R26	1541980800000	0
R26	1541894400000	0
R26	1541808000000	0
R26	1541721600000	0
R26	1541635200000	0
R26	1541548800000	0
R26	1541462400000	0
R26	1541376000000	0
R26	1541289600000	0
R26	1541203200000	0
R26	1541116800000	0
R26	1541030400000	0
R26	1540944000000	0
R26	1540857600000	0
R26	1540771200000	0
R26	1540684800000	5.952
R26	1540598400000	13.892
R26	1540512000000	20.62
R26	1540425600000	22.816
R26	1540339200000	26.011
R26	1540252800000	27.466
R26	1540166400000	28.805
R26	1540080000000	29.812
R26	1537660800000	31.284
R26	1537574400000	31.853
R26	1537488000000	32.409
R26	1537401600000	33.781
R26	1537315200000	37.002
R26	1537228800000	38.884
R26	1537142400000	40.072
R26	1537056000000	41.846
R26	1536969600000	43.497
R26	1536883200000	43.456
R26	1536796800000	42.372
R26	1536710400000	40.293
R26	1536624000000	38.411
R26	1536537600000	34.872
R26	1536451200000	29.152
R26	1536364800000	23.954
R26	1536278400000	17.499
R26	1536192000000	11.132
R26	1536105600000	6.9
R26	1536019200000	5.106
R26	1535932800000	5.415
R26	1535846400000	7.09
R26	1535760000000	8.672
R26	1535673600000	12.759
R26	1535587200000	16.309
